[06 oct. 9:48:35] Created new character L2PcInstance:THUNDERBOLT[268480697] [Account: admin - IP: 127.0.0.1].
[06 oct. 9:48:42] Logged in, THUNDERBOLT(268480697) admin 127.0.0.1
[06 oct. 9:50:07] Logged out, THUNDERBOLT(268480697) admin 127.0.0.1
[06 oct. 9:51:09] Logged in, THUNDERBOLT(268480697) admin 127.0.0.1
[06 oct. 10:05:22] Disconnected, THUNDERBOLT(268480697) admin 127.0.0.1
[15 mar. 21:29:47] Created new character L2PcInstance:Waizatsu[268480685] [Account: makusanagi - IP: 127.0.0.1].
[15 mar. 21:29:48] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:30:51] Logged out, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:30:53] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:31:58] Logged out, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:31:59] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:32:56] Logged out, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:34:07] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 21:46:10] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 22:14:50] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 22:21:27] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 22:26:38] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[15 mar. 22:28:59] Disconnected, Waizatsu(268480685) makusanagi 127.0.0.1
[16 mar. 11:27:23] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[16 mar. 11:39:04] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[16 mar. 12:14:13] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[16 mar. 12:18:31] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[16 mar. 12:29:45] Disconnected, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 12:30:10] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 12:32:38] Disconnected, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 12:32:59] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 12:43:25] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:03:44] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:07:59] Disconnected, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:08:35] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:08:57] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:11:43] Disconnected, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:11:58] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[16 mar. 13:21:01] Disconnected, Le'garde(268480685) makusanagi 127.0.0.1
[17 mar. 13:56:15] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[17 mar. 14:22:54] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[17 mar. 14:23:04] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[17 mar. 14:23:56] Disconnected, Le'garde(268480685) makusanagi 127.0.0.1
[17 mar. 14:27:43] Logged in, Le'garde(268480685) makusanagi 127.0.0.1
[17 mar. 14:42:47] Logged in, Elianita(268480685) makusanagi 127.0.0.1
[17 mar. 17:09:02] Logged in, Tenza Zangetsu(268480685) makusanagi 127.0.0.1
[17 mar. 17:09:40] Disconnected, Tenza Zangetsu(268480685) makusanagi 127.0.0.1
[17 mar. 17:11:41] Logged in, Tenza Zangetsu(268480685) makusanagi 127.0.0.1
[17 mar. 18:22:18] Logged in, Tenza Zangetsu(268480685) makusanagi 127.0.0.1
[17 mar. 20:25:28] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[17 mar. 20:49:16] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[17 mar. 21:06:33] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[17 mar. 21:07:13] Disconnected, Meryem(268480685) makusanagi 127.0.0.1
[17 mar. 21:09:49] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[17 mar. 22:47:14] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[17 mar. 23:13:01] Disconnected, Meryem(268480685) makusanagi 127.0.0.1
[19 mar. 19:25:31] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[19 mar. 19:37:24] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[19 mar. 19:40:43] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[19 mar. 19:43:35] Logged out, Meryem(268480685) makusanagi 127.0.0.1
[19 mar. 19:43:36] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[19 mar. 19:53:22] Disconnected, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:26:48] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:27:04] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:45:26] Disconnected, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:45:50] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:51:41] Disconnected, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:52:04] Logged in, Meryem(268480685) makusanagi 127.0.0.1
[20 mar. 19:56:24] Disconnected, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:05:12] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:05:46] Disconnected, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:09:43] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:19:38] Disconnected, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:19:59] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:53:07] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[20 mar. 20:55:43] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[21 mar. 15:24:27] Logged in, Waizatsu(268480685) makusanagi 127.0.0.1
[21 mar. 15:42:22] Kicked by login: [Character: GOD[268480685] - Account: makusanagi - IP: 127.0.0.1]
[21 mar. 15:42:31] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:00:42] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:01:19] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:06:11] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:06:32] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:15:57] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:16:14] Logged in, GOD(268480685) makusanagi 127.0.0.1
